round,FedAvg_acc,FedAvg_loss,FedAvg_f1,FedAvg_prec,FedAvg_rec,FedAvg_auc,FedProx_acc,FedProx_loss,FedProx_f1,FedProx_prec,FedProx_rec,FedProx_auc,SCAFFOLD_acc,SCAFFOLD_loss,SCAFFOLD_f1,SCAFFOLD_prec,SCAFFOLD_rec,SCAFFOLD_auc,FedNova_acc,FedNova_loss,FedNova_f1,FedNova_prec,FedNova_rec,FedNova_auc,FedAdam_acc,FedAdam_loss,FedAdam_f1,FedAdam_prec,FedAdam_rec,FedAdam_auc,FedYogi_acc,FedYogi_loss,FedYogi_f1,FedYogi_prec,FedYogi_rec,FedYogi_auc,FedAdagrad_acc,FedAdagrad_loss,FedAdagrad_f1,FedAdagrad_prec,FedAdagrad_rec,FedAdagrad_auc,Per-FedAvg_acc,Per-FedAvg_loss,Per-FedAvg_f1,Per-FedAvg_prec,Per-FedAvg_rec,Per-FedAvg_auc,Ditto_acc,Ditto_loss,Ditto_f1,Ditto_prec,Ditto_rec,Ditto_auc
1,0.4834,0.6983,0.4506,0.5426,0.6760,0.6047,0.4834,0.6983,0.4506,0.5426,0.6760,0.6046,0.4834,0.6983,0.4506,0.5426,0.6760,0.6047,0.4918,0.6915,0.6448,0.4905,0.9423,0.6576,0.4963,0.6940,0.6617,0.4948,1.0000,0.6435,0.4963,0.6940,0.6617,0.4948,1.0000,0.6434,0.5543,0.7157,0.3634,0.4513,0.4232,0.6695,0.4838,0.6983,0.4576,0.5303,0.6798,0.6046,0.4842,0.6984,0.4493,0.5823,0.6752,0.6042
2,0.5047,0.6970,0.5617,0.5433,0.7574,0.6166,0.5043,0.6970,0.5608,0.5426,0.7566,0.6164,0.5047,0.6970,0.5617,0.5433,0.7574,0.6166,0.5122,0.6889,0.4467,0.3360,0.6667,0.6868,0.5122,0.6904,0.4467,0.3360,0.6667,0.6789,0.5122,0.6904,0.4467,0.3360,0.6667,0.6788,0.4837,0.6981,0.4339,0.3217,0.6667,0.7448,0.5120,0.6970,0.5796,0.5509,0.7744,0.6166,0.4995,0.6971,0.5375,0.5460,0.7349,0.6162
3,0.5184,0.6959,0.6403,0.5205,0.8822,0.6261,0.5180,0.6959,0.6392,0.5205,0.8798,0.6260,0.5184,0.6959,0.6403,0.5205,0.8822,0.6261,0.5182,0.6870,0.4491,0.3390,0.6651,0.7186,0.5393,0.6902,0.3085,0.4717,0.3802,0.7048,0.5397,0.6902,0.3107,0.4685,0.3817,0.7046,0.5630,0.6818,0.2177,0.9312,0.1236,0.7674,0.5180,0.6961,0.6273,0.5272,0.8504,0.6248,0.5168,0.6961,0.6256,0.5262,0.8481,0.6268
4,0.5236,0.6951,0.6648,0.5148,0.9543,0.6352,0.5248,0.6951,0.6654,0.5158,0.9543,0.6349,0.5236,0.6951,0.6648,0.5148,0.9543,0.6352,0.5491,0.6849,0.4618,0.3559,0.6574,0.7460,0.5193,0.6862,0.2290,0.5060,0.3341,0.7494,0.5193,0.6862,0.2290,0.5060,0.3341,0.7490,0.5942,0.7066,0.6396,0.6449,0.7851,0.8029,0.5232,0.6952,0.6591,0.5171,0.9333,0.6322,0.5264,0.6952,0.6630,0.5187,0.9411,0.6345
5,0.5071,0.6942,0.6632,0.5014,0.9837,0.6418,0.5075,0.6942,0.6634,0.5017,0.9837,0.6417,0.5071,0.6942,0.6632,0.5014,0.9837,0.6418,0.5955,0.6827,0.4524,0.4390,0.5246,0.7626,0.5386,0.6795,0.2373,0.5168,0.3302,0.7872,0.5354,0.6796,0.2357,0.5150,0.3302,0.7868,0.5713,0.7141,0.3756,0.4812,0.4232,0.7632,0.5120,0.6944,0.6621,0.5054,0.9682,0.6391,0.5075,0.6944,0.6619,0.5020,0.9767,0.6409
6,0.5011,0.6935,0.6628,0.4975,0.9946,0.6474,0.5011,0.6935,0.6626,0.4976,0.9938,0.6472,0.5011,0.6935,0.6628,0.4975,0.9946,0.6474,0.6187,0.6806,0.4852,0.4231,0.5860,0.7741,0.6179,0.6735,0.3695,0.8935,0.2906,0.8040,0.6138,0.6736,0.3573,0.8887,0.2846,0.8038,0.6435,0.6735,0.5396,0.7972,0.5341,0.7900,0.5011,0.6937,0.6614,0.4977,0.9884,0.6458,0.5019,0.6937,0.6631,0.4980,0.9946,0.6478
7,0.4983,0.6929,0.6625,0.4959,0.9992,0.6541,0.4983,0.6929,0.6625,0.4959,0.9992,0.6538,0.4983,0.6929,0.6625,0.4959,0.9992,0.6541,0.6245,0.6779,0.5309,0.7283,0.6003,0.7892,0.7001,0.6666,0.7150,0.6907,0.7679,0.8139,0.7015,0.6669,0.7130,0.6944,0.7584,0.8135,0.6623,0.6619,0.6875,0.6639,0.7885,0.8068,0.5011,0.6931,0.6634,0.4974,0.9977,0.6515,0.4999,0.6931,0.6630,0.4967,0.9984,0.6537
8,0.4951,0.6924,0.6612,0.4941,1.0000,0.6601,0.4951,0.6924,0.6612,0.4941,1.0000,0.6598,0.4951,0.6924,0.6612,0.4941,1.0000,0.6601,0.6451,0.6750,0.5710,0.7364,0.5956,0.7967,0.6176,0.6584,0.7114,0.5711,0.9510,0.8200,0.6204,0.6588,0.7122,0.5737,0.9471,0.8199,0.6522,0.6742,0.4876,0.8022,0.5151,0.7991,0.4983,0.6925,0.6626,0.4958,1.0000,0.6576,0.4983,0.6925,0.6626,0.4958,1.0000,0.6594
9,0.4935,0.6919,0.6605,0.4933,1.0000,0.6662,0.4935,0.6919,0.6605,0.4933,1.0000,0.6660,0.4935,0.6919,0.6605,0.4933,1.0000,0.6662,0.6442,0.6716,0.5715,0.7256,0.6495,0.8019,0.6245,0.6490,0.7172,0.5709,0.9653,0.8215,0.6232,0.6497,0.7169,0.5699,0.9671,0.8215,0.6186,0.7883,0.7018,0.5944,0.8914,0.8175,0.4959,0.6920,0.6615,0.4946,1.0000,0.6631,0.4959,0.6920,0.6615,0.4946,1.0000,0.6647
10,0.4935,0.6915,0.6602,0.4933,0.9991,0.6709,0.4935,0.6916,0.6602,0.4933,0.9991,0.6705,0.4935,0.6915,0.6602,0.4933,0.9991,0.6709,0.6843,0.6683,0.6278,0.7481,0.6410,0.8049,0.7240,0.6285,0.7405,0.6994,0.8011,0.8190,0.7280,0.6297,0.7485,0.6955,0.8220,0.8192,0.5909,0.6863,0.2803,0.9104,0.2585,0.8014,0.4955,0.6916,0.6612,0.4943,0.9991,0.6690,0.4955,0.6916,0.6612,0.4943,0.9991,0.6701
11,0.4952,0.6911,0.6610,0.4941,0.9991,0.6761,0.4952,0.6912,0.6610,0.4941,0.9991,0.6758,0.4952,0.6911,0.6610,0.4941,0.9991,0.6761,0.6315,0.6647,0.6075,0.6961,0.7060,0.8111,0.6969,0.6119,0.6130,0.8139,0.5421,0.8169,0.6962,0.6132,0.6131,0.8090,0.5445,0.8169,0.6361,0.8134,0.6329,0.7132,0.7057,0.8224,0.4956,0.6912,0.6612,0.4943,0.9991,0.6745,0.4969,0.6911,0.6613,0.4948,0.9973,0.6743
